Crude_Blend,API_Gravity,Inlet_BSW,Inlet_Salt_PTB,Target_Risk_Class
Ural,36.46,1.026,19.88,Low
Arab Light,33.91,1.317,15.51,Medium
Bonny Light,41.94,0.511,10.0,Low
Ural,31.89,2.18,31.98,Low
Basrah Heavy,22.71,1.022,13.32,Medium
Bonny Light,41.26,0.284,17.9,Low
Ural,29.98,1.311,21.92,Low
Ural,32.39,1.372,17.77,Medium
Basrah Heavy,24.99,0.634,10.0,Low
Arab Light,33.55,1.013,12.48,Low
Arab Light,34.31,0.907,24.32,Low
Bonny Light,34.72,1.219,21.47,Low
Arab Light,35.95,1.0,12.81,Low
Ural,36.4,0.442,37.21,Low
Arab Light,34.75,0.643,18.67,Low
Basrah Heavy,25.72,1.143,14.99,Medium
Arab Light,38.68,0.889,32.66,Medium
Basrah Heavy,22.19,1.985,32.96,High
Ural,31.59,0.917,10.0,Low
Arab Light,33.31,1.083,15.59,Low
Ural,34.39,0.663,16.88,Low
Arab Light,39.63,1.282,17.65,Low
Bonny Light,40.27,0.715,10.0,Low
Bonny Light,41.56,0.661,20.9,Low
Ural,27.64,2.255,29.39,Medium
Basrah Heavy,23.17,2.395,28.84,High
Arab Light,35.56,0.896,10.8,Low
Basrah Heavy,24.12,1.516,28.87,High
Basrah Heavy,22.65,2.5,18.98,High
Ural,27.56,1.411,15.73,High
Ural,34.02,0.757,15.65,Low
Bonny Light,44.38,0.641,16.42,Low
Basrah Heavy,22.69,1.232,33.12,Medium
Arab Light,31.79,0.614,15.85,Low
Arab Light,31.77,1.597,24.37,Medium
Basrah Heavy,29.09,1.006,10.31,Medium
Basrah Heavy,26.02,1.742,16.9,High
Arab Light,35.38,1.695,18.81,Medium
Basrah Heavy,25.63,0.94,15.92,High
Ural,30.55,1.189,17.28,Low
Arab Light,33.24,1.738,25.81,Medium
Ural,31.16,1.482,33.56,Medium
Ural,36.11,0.799,15.07,High
Basrah Heavy,26.02,2.5,35.54,Medium
Ural,30.32,1.181,12.35,Medium
Ural,32.8,1.221,33.43,Low
Arab Light,38.19,1.278,18.88,High
Basrah Heavy,28.62,1.875,38.2,Medium
Ural,30.31,1.94,22.47,High
Basrah Heavy,27.68,1.015,13.71,Medium
Basrah Heavy,22.12,2.5,24.4,High
Basrah Heavy,24.59,1.685,14.83,High
Ural,31.59,0.878,24.5,Medium
Ural,28.23,1.464,14.94,Medium
Ural,34.31,1.032,19.59,Low
Ural,34.5,1.834,15.41,Low
Arab Light,31.94,1.277,37.67,Low
Arab Light,31.25,0.884,24.83,Low
Basrah Heavy,28.28,0.949,24.58,Medium
Basrah Heavy,28.19,1.335,20.7,High
Ural,34.45,0.597,12.2,Low
Arab Light,31.95,0.869,11.59,Low
Arab Light,38.23,0.657,28.74,High
Ural,27.65,1.201,10.0,Medium
Arab Light,30.6,1.552,26.54,Medium
Arab Light,36.57,0.634,10.0,Low
Arab Light,38.08,0.305,10.0,Low
Basrah Heavy,21.0,1.007,14.09,High
Basrah Heavy,20.54,1.835,21.05,High
Arab Light,38.16,0.586,16.21,Low
Basrah Heavy,27.32,0.917,26.31,Medium
Arab Light,36.83,1.597,20.41,Medium
Bonny Light,40.59,0.754,10.0,Low
Basrah Heavy,27.36,1.382,14.11,Medium
Basrah Heavy,28.36,1.461,19.17,High
Basrah Heavy,23.1,1.534,17.76,High
Basrah Heavy,22.3,1.118,22.93,High
Ural,33.47,1.463,23.34,Low
Arab Light,33.54,1.368,26.74,Low
Ural,33.93,0.496,10.0,Low
Ural,28.8,1.427,29.42,Medium
Arab Light,36.26,0.946,10.0,Low
Ural,32.5,0.966,20.88,Low
Basrah Heavy,27.51,2.5,40.74,High
Basrah Heavy,23.92,2.5,16.56,High
Basrah Heavy,25.91,1.317,10.0,High
Ural,34.14,0.904,14.91,Low
Arab Light,35.94,0.765,11.44,Low
Basrah Heavy,26.15,1.201,10.0,Medium
Arab Light,36.87,0.581,10.0,Low
Basrah Heavy,22.78,2.034,34.54,High
Ural,27.35,2.5,20.32,Medium
Arab Light,29.83,2.155,54.66,High
Arab Light,31.63,1.499,12.95,Medium
Basrah Heavy,29.62,0.545,10.0,Low
Arab Light,33.39,0.534,10.0,Low
Arab Light,33.63,1.465,12.26,Low
Basrah Heavy,25.91,2.5,22.23,High
Basrah Heavy,21.9,2.136,25.48,High
Bonny Light,40.68,0.502,16.87,Low
Bonny Light,37.65,1.208,13.98,Medium
Ural,31.14,1.521,25.44,Medium
Basrah Heavy,23.9,2.43,44.12,Medium
Bonny Light,39.69,0.325,10.0,Low
Ural,32.35,1.231,14.52,Medium
Ural,28.17,2.5,21.22,High
Arab Light,37.51,0.916,15.5,Low
Basrah Heavy,24.6,2.212,40.4,High
Basrah Heavy,22.76,1.726,21.92,High
Bonny Light,41.37,0.534,17.41,Low
Arab Light,34.49,1.559,20.98,Low
Basrah Heavy,20.71,1.452,19.42,Medium
Basrah Heavy,27.42,1.075,44.82,High
Arab Light,34.85,0.788,17.39,Low
Basrah Heavy,24.33,1.617,29.7,High
Bonny Light,42.32,0.258,13.95,Low
Ural,27.27,1.829,22.96,High
Ural,33.65,0.952,10.0,Medium
Arab Light,35.36,1.212,13.79,High
Arab Light,35.84,0.413,26.34,Low
Arab Light,35.89,1.168,10.0,Low
