Timestamp,API_Gravity,Inlet_Temperature,Wash_Water_Rate,Inlet_Salt_PTB,Emulsion_Layer_Thickness,Grid_Voltage,Trip_Warning_60m
2026-06-01 00:00:00,32.0,135.0,5.0,30.0,10.0,14.93,0
2026-06-01 00:01:00,32.01,135.13,4.99,29.83,10.08,15.12,0
2026-06-01 00:02:00,32.01,135.15,4.99,29.95,9.95,15.02,0
2026-06-01 00:03:00,32.03,135.3,4.99,29.7,9.86,14.98,0
2026-06-01 00:04:00,32.07,135.53,4.91,29.6,9.84,14.98,0
2026-06-01 00:05:00,32.06,135.51,4.9,29.7,10.02,15.05,0
2026-06-01 00:06:00,32.06,135.64,4.87,29.54,10.06,14.9,0
2026-06-01 00:07:00,32.1,135.79,4.94,29.34,10.07,14.98,0
2026-06-01 00:08:00,32.12,135.81,4.97,29.35,10.17,15.0,0
2026-06-01 00:09:00,32.11,136.1,4.82,29.26,10.28,15.02,0
2026-06-01 00:10:00,32.12,136.26,4.82,29.29,10.22,15.03,0
2026-06-01 00:11:00,32.11,136.16,4.76,29.22,10.23,14.92,0
2026-06-01 00:12:00,32.09,136.19,4.69,29.07,10.27,15.01,0
2026-06-01 00:13:00,32.1,136.32,4.58,29.15,10.13,15.01,0
2026-06-01 00:14:00,32.04,136.6,4.63,29.28,10.24,15.0,0
2026-06-01 00:15:00,31.99,136.68,4.68,29.17,10.42,15.08,0
2026-06-01 00:16:00,31.97,136.72,4.61,29.44,10.36,15.03,0
2026-06-01 00:17:00,31.94,136.9,4.66,29.68,10.35,14.98,0
2026-06-01 00:18:00,31.95,136.86,4.77,30.05,10.34,15.04,0
2026-06-01 00:19:00,31.92,136.7,4.76,30.02,10.52,14.96,0
2026-06-01 00:20:00,31.88,136.8,4.72,30.0,10.57,15.05,0
2026-06-01 00:21:00,31.92,136.73,4.71,29.94,10.57,15.0,0
2026-06-01 00:22:00,31.91,137.13,4.77,30.01,10.71,15.02,0
2026-06-01 00:23:00,31.91,137.16,4.84,29.84,10.88,14.89,0
2026-06-01 00:24:00,31.87,137.25,4.84,29.8,10.94,14.97,0
2026-06-01 00:25:00,31.85,137.15,4.8,29.92,11.08,15.09,0
2026-06-01 00:26:00,31.85,137.33,4.81,29.8,11.11,15.0,0
2026-06-01 00:27:00,31.82,137.31,4.8,29.76,10.95,15.05,0
2026-06-01 00:28:00,31.83,137.28,4.81,29.84,11.07,15.05,0
2026-06-01 00:29:00,31.81,137.25,4.79,29.81,11.08,15.07,0
2026-06-01 00:30:00,31.8,137.05,4.8,29.73,10.95,15.05,0
2026-06-01 00:31:00,31.78,137.0,4.71,29.83,10.81,14.99,0
2026-06-01 00:32:00,31.84,137.07,4.73,29.83,10.76,15.01,0
2026-06-01 00:33:00,31.84,136.83,4.79,29.86,10.74,14.96,0
2026-06-01 00:34:00,31.8,136.97,4.78,29.76,10.78,15.0,0
2026-06-01 00:35:00,31.83,136.92,4.79,29.67,10.8,14.91,0
2026-06-01 00:36:00,31.79,136.95,4.71,29.78,10.9,14.92,0
2026-06-01 00:37:00,31.8,136.61,4.74,30.0,11.0,14.97,0
2026-06-01 00:38:00,31.74,136.63,4.78,29.92,11.13,15.01,0
2026-06-01 00:39:00,31.7,136.47,4.87,30.03,11.13,15.01,0
2026-06-01 00:40:00,31.7,136.41,4.75,30.11,11.01,14.99,0
2026-06-01 00:41:00,31.72,136.17,4.78,30.23,10.94,14.92,0
2026-06-01 00:42:00,31.73,136.03,4.69,30.22,10.77,14.95,0
2026-06-01 00:43:00,31.72,136.0,4.71,30.36,10.6,15.04,0
2026-06-01 00:44:00,31.71,135.95,4.69,30.44,10.58,15.08,0
2026-06-01 00:45:00,31.67,136.08,4.71,30.37,10.46,14.99,0
2026-06-01 00:46:00,31.64,135.79,4.74,30.32,10.59,14.92,0
2026-06-01 00:47:00,31.63,135.78,4.74,30.67,10.7,15.1,0
2026-06-01 00:48:00,31.66,135.76,4.72,30.79,10.72,14.97,0
2026-06-01 00:49:00,31.67,135.69,4.73,30.83,10.64,15.04,0
2026-06-01 00:50:00,31.62,135.55,4.78,30.78,10.55,15.01,0
2026-06-01 00:51:00,31.63,135.71,4.79,30.73,10.72,15.03,0
2026-06-01 00:52:00,31.61,136.02,4.83,30.76,10.75,14.97,0
2026-06-01 00:53:00,31.59,135.76,4.76,30.62,10.81,14.98,0
2026-06-01 00:54:00,31.61,135.61,4.77,30.39,10.97,15.0,0
2026-06-01 00:55:00,31.64,135.46,4.74,30.49,10.98,14.95,0
2026-06-01 00:56:00,31.67,135.41,4.78,30.71,11.0,15.04,0
2026-06-01 00:57:00,31.64,135.6,4.81,30.95,11.14,15.0,0
2026-06-01 00:58:00,31.63,135.68,4.79,31.04,10.85,15.04,0
2026-06-01 00:59:00,31.64,135.65,4.8,30.98,10.71,14.99,0
2026-06-01 01:00:00,31.67,135.65,4.79,31.19,10.96,15.02,0
2026-06-01 01:01:00,31.66,135.6,4.81,31.42,10.87,14.99,0
2026-06-01 01:02:00,31.65,135.71,4.83,31.46,10.89,14.99,0
2026-06-01 01:03:00,31.62,135.83,4.83,31.65,10.77,14.93,0
2026-06-01 01:04:00,31.58,135.92,4.77,31.34,10.71,15.04,0
2026-06-01 01:05:00,31.6,135.58,4.84,31.4,10.66,14.99,0
2026-06-01 01:06:00,31.64,135.58,4.9,31.46,10.71,15.07,0
2026-06-01 01:07:00,31.64,135.55,4.9,31.37,10.71,15.03,0
2026-06-01 01:08:00,31.67,135.7,4.93,31.32,10.66,14.94,0
2026-06-01 01:09:00,31.68,135.73,4.96,31.47,10.63,14.92,0
2026-06-01 01:10:00,31.66,135.81,4.92,31.52,10.46,15.04,0
2026-06-01 01:11:00,31.67,135.73,4.99,31.61,10.54,15.01,0
2026-06-01 01:12:00,31.72,135.87,4.89,31.77,10.52,15.01,0
2026-06-01 01:13:00,31.71,136.05,4.8,31.84,10.41,15.11,0
2026-06-01 01:14:00,31.76,135.8,4.77,31.89,10.28,15.03,0
2026-06-01 01:15:00,31.68,135.6,4.78,31.97,10.43,15.05,0
